perc,Treatment,SCFA
18.48456016,FOS,Propionate
18.57432373,FOS,Propionate
18.52843427,FOS,Propionate
23.59268555,Glucan,Propionate
24.40740741,Glucan,Propionate
23.9683764,Glucan,Propionate
9.545412462,Pectin,Propionate
9.489883158,Pectin,Propionate
9.608299399,Pectin,Propionate
11.05676406,RS,Propionate
10.52029004,RS,Propionate
10.68961022,RS,Propionate
13.74480905,FOS,Propionate
13.64977658,FOS,Propionate
13.69758334,FOS,Propionate
22.52451756,Glucan,Propionate
22.5660864,Glucan,Propionate
22.68108817,Glucan,Propionate
8.674555206,Pectin,Propionate
8.795262596,Pectin,Propionate
8.938490023,Pectin,Propionate
10.65694778,RS,Propionate
10.75669149,RS,Propionate
10.31408728,RS,Propionate
19.74558884,FOS,Propionate
19.72249752,FOS,Propionate
19.85085898,FOS,Propionate
26.89015692,Glucan,Propionate
26.75438596,Glucan,Propionate
27.17717718,Glucan,Propionate
13.02262538,Pectin,Propionate
13.54573267,Pectin,Propionate
13.73012462,Pectin,Propionate
16.25192012,RS,Propionate
15.6155303,RS,Propionate
16.196965,RS,Propionate
15.67539892,FOS,Propionate
14.14376511,FOS,Propionate
14.4612563,FOS,Propionate
22.99785867,Glucan,Propionate
22.73570325,Glucan,Propionate
22.62877442,Glucan,Propionate
11.66338583,Pectin,Propionate
11.59764438,Pectin,Propionate
11.55167337,Pectin,Propionate
21.16832022,RS,Propionate
20.70508232,RS,Propionate
21.06838382,RS,Propionate
19.12739092,FOS,Propionate
19.14222643,FOS,Propionate
19.50447094,FOS,Propionate
22.18691794,Glucan,Propionate
22.30699157,Glucan,Propionate
22.35152969,Glucan,Propionate
13.43641115,Pectin,Propionate
13.36872969,Pectin,Propionate
13.38978788,Pectin,Propionate
13.54557188,RS,Propionate
13.29422621,RS,Propionate
13.14705882,RS,Propionate
13.88290582,FOS,Propionate
13.7963029,FOS,Propionate
15.68163265,FOS,Propionate
25.34469404,Glucan,Propionate
25.75757576,Glucan,Propionate
25.65942939,Glucan,Propionate
9.748332323,Pectin,Propionate
10.02255881,Pectin,Propionate
9.832096837,Pectin,Propionate
15.13726348,RS,Propionate
14.93555724,RS,Propionate
14.52407277,RS,Propionate
13.13498211,FOS,Propionate
12.95566204,FOS,Propionate
13.18499682,FOS,Propionate
12.40705332,Pectin,Propionate
12.41923905,Pectin,Propionate
12.67083623,Pectin,Propionate
17.13557236,RS,Propionate
16.16973468,RS,Propionate
17.1783274,RS,Propionate
18.56174477,FOS,Propionate
17.96310219,FOS,Propionate
18.31937799,FOS,Propionate
25.68730908,Glucan,Propionate
25.54324363,Glucan,Propionate
25.60358537,Glucan,Propionate
10.90264038,Pectin,Propionate
11.0698825,Pectin,Propionate
10.91767483,Pectin,Propionate
23.58752359,RS,Propionate
23.57408126,RS,Propionate
23.61421678,RS,Propionate
19.75809176,FOS,Propionate
20.12435649,FOS,Propionate
19.97492995,FOS,Propionate
13.16448017,Pectin,Propionate
13.19505737,Pectin,Propionate
13.03542487,Pectin,Propionate
17.33302519,RS,Propionate
16.03275028,RS,Propionate
16.69353657,RS,Propionate
19.06349963,FOS,Propionate
19.58485622,FOS,Propionate
19.7383902,FOS,Propionate
13.84386501,Pectin,Propionate
13.70699652,Pectin,Propionate
13.64973368,Pectin,Propionate
14.77272727,RS,Propionate
14.95232299,RS,Propionate
15.35502959,RS,Propionate
20.30966179,FOS,Butyrate
20.23085734,FOS,Butyrate
20.20864106,FOS,Butyrate
20.4195052,Glucan,Butyrate
19.61111111,Glucan,Butyrate
19.68762052,Glucan,Butyrate
12.045181,Pectin,Butyrate
12.20670656,Pectin,Butyrate
11.99340702,Pectin,Butyrate
25.42154717,RS,Butyrate
23.83920621,RS,Butyrate
23.42588971,RS,Butyrate
16.72502239,FOS,Butyrate
17.06432847,FOS,Butyrate
16.80198682,FOS,Butyrate
15.75450807,Glucan,Butyrate
15.69954868,Glucan,Butyrate
15.40478532,Glucan,Butyrate
11.36460373,Pectin,Butyrate
10.96010096,Pectin,Butyrate
11.31454433,Pectin,Butyrate
28.13249677,RS,Butyrate
29.15073455,RS,Butyrate
27.58370478,RS,Butyrate
11.44850226,FOS,Butyrate
11.34336427,FOS,Butyrate
11.67642062,FOS,Butyrate
15.2639087,Glucan,Butyrate
15.46052632,Glucan,Butyrate
14.6021021,Glucan,Butyrate
7.684287353,Pectin,Butyrate
7.437493406,Pectin,Butyrate
7.520412548,Pectin,Butyrate
10.23041475,RS,Butyrate
9.431818182,RS,Butyrate
9.538556829,RS,Butyrate
17.01510368,FOS,Butyrate
15.79983887,FOS,Butyrate
15.35075653,FOS,Butyrate
22.68379729,Glucan,Butyrate
22.31839258,Glucan,Butyrate
21.88277087,Glucan,Butyrate
11.46653543,Pectin,Butyrate
11.12272036,Pectin,Butyrate
11.30631073,Pectin,Butyrate
17.24255901,RS,Butyrate
17.63600573,RS,Butyrate
17.2319971,RS,Butyrate
19.48368546,FOS,Butyrate
19.6341848,FOS,Butyrate
20.23099851,FOS,Butyrate
22.09926591,Glucan,Butyrate
22.27283079,Glucan,Butyrate
22.15956809,Glucan,Butyrate
16.52148664,Pectin,Butyrate
16.67327047,Pectin,Butyrate
16.34945921,Pectin,Butyrate
22.21744207,RS,Butyrate
21.71104666,RS,Butyrate
21.50735294,RS,Butyrate
15.93238039,FOS,Butyrate
15.87324245,FOS,Butyrate
17.23265306,FOS,Butyrate
22.71107668,Glucan,Butyrate
22.50344353,Glucan,Butyrate
22.91404988,Glucan,Butyrate
11.3856883,Pectin,Butyrate
11.85949082,Pectin,Butyrate
11.34713003,Pectin,Butyrate
17.27004266,RS,Butyrate
13.70356331,RS,Butyrate
13.54910041,RS,Butyrate
16.06217617,FOS,Butyrate
15.82458907,FOS,Butyrate
15.87412587,FOS,Butyrate
11.12527441,Pectin,Butyrate
11.16295765,Pectin,Butyrate
11.21921087,Pectin,Butyrate
15.34200809,RS,Butyrate
14.69190217,RS,Butyrate
15.10922914,RS,Butyrate
12.13085765,FOS,Butyrate
11.72864496,FOS,Butyrate
11.87799043,FOS,Butyrate
21.41071924,Glucan,Butyrate
21.52827745,Glucan,Butyrate
21.20861645,Glucan,Butyrate
10.11120966,Pectin,Butyrate
10.00481,Pectin,Butyrate
10.03245795,Pectin,Butyrate
7.708957709,RS,Butyrate
7.6326146,RS,Butyrate
7.661527598,RS,Butyrate
10.29123589,FOS,Butyrate
10.09560741,FOS,Butyrate
10.25659932,FOS,Butyrate
6.658072344,Pectin,Butyrate
6.273904089,Pectin,Butyrate
6.12796172,Pectin,Butyrate
10.02234034,RS,Butyrate
9.609229624,RS,Butyrate
9.350725487,RS,Butyrate
19.3901858,FOS,Butyrate
19.14350734,FOS,Butyrate
19.15703509,FOS,Butyrate
8.66807611,Pectin,Butyrate
8.33397758,Pectin,Butyrate
8.259798076,Pectin,Butyrate
23.05749806,RS,Butyrate
22.71251775,RS,Butyrate
21.77514793,RS,Butyrate
