index,Treatment,Time,Donor
Enosh187-B1D4,Blank,Final,D1
Enosh188-B2D4,Blank,Final,D1
Enosh189-B3D4,Blank,Final,D1
Enosh190-F1D4,FOS,Final,D1
Enosh191-F2D4,FOS,Final,D1
Enosh192-F3D4,FOS,Final,D1
Enosh193-P1D4,Pectin,Final,D1
Enosh194-P2D4,Pectin,Final,D1
Enosh195-P3D4,Pectin,Final,D1
Enosh196-R1D4,RS,Final,D1
Enosh197-R2D4,RS,Final,D1
Enosh198-R3D4,RS,Final,D1
Enosh199-G1D4,Glucan,Final,D1
Enosh200-G2D4,Glucan,Final,D1
Enosh201-G3D4,Glucan,Final,D1
Enosh184-I1D4,Blank,Initial,D1
Enosh185-I2D4,Blank,Initial,D1
Enosh186-I3D4,Blank,Initial,D1
Enosh204-I3D4,Blank,Initial,D1
Enosh184-I1D4,FOS,Initial,D1
Enosh185-I2D4,FOS,Initial,D1
Enosh186-I3D4,FOS,Initial,D1
Enosh204-I3D4,FOS,Initial,D1
Enosh184-I1D4,Glucan,Initial,D1
Enosh185-I2D4,Glucan,Initial,D1
Enosh186-I3D4,Glucan,Initial,D1
Enosh204-I3D4,Glucan,Initial,D1
Enosh184-I1D4,Pectin,Initial,D1
Enosh185-I2D4,Pectin,Initial,D1
Enosh186-I3D4,Pectin,Initial,D1
Enosh204-I3D4,Pectin,Initial,D1
Enosh184-I1D4,RS,Initial,D1
Enosh185-I2D4,RS,Initial,D1
Enosh186-I3D4,RS,Initial,D1
Enosh204-I3D4,RS,Initial,D1
Enosh349-B1D13,Blank,Final,D10
Enosh350-B2D13,Blank,Final,D10
Enosh351-B3D13,Blank,Final,D10
Enosh352-F1D13,FOS,Final,D10
Enosh353-F2D13,FOS,Final,D10
Enosh354-F3D13,FOS,Final,D10
Enosh355-P1D13,Pectin,Final,D10
Enosh356-P2D13,Pectin,Final,D10
Enosh357-P3D13,Pectin,Final,D10
Enosh358-R1D13,RS,Final,D10
Enosh359-R2D13,RS,Final,D10
Enosh360-R3D13,RS,Final,D10
Enosh361-G1D13,Glucan,Final,D10
Enosh362-G2D13,Glucan,Final,D10
Enosh363-G3D13,Glucan,Final,D10
Enosh340-I2D13,Blank,Initial,D10
Enosh346-I1D13,Blank,Initial,D10
Enosh348-I3D13,Blank,Initial,D10
Enosh340-I2D13,FOS,Initial,D10
Enosh346-I1D13,FOS,Initial,D10
Enosh348-I3D13,FOS,Initial,D10
Enosh340-I2D13,Glucan,Initial,D10
Enosh346-I1D13,Glucan,Initial,D10
Enosh348-I3D13,Glucan,Initial,D10
Enosh340-I2D13,Pectin,Initial,D10
Enosh346-I1D13,Pectin,Initial,D10
Enosh348-I3D13,Pectin,Initial,D10
Enosh340-I2D13,RS,Initial,D10
Enosh346-I1D13,RS,Initial,D10
Enosh348-I3D13,RS,Initial,D10
Enosh202-B1D5,Blank,Final,D2
Enosh208-F1D5,FOS,Final,D2
Enosh209-F2D5,FOS,Final,D2
Enosh210-F3D5,FOS,Final,D2
Enosh211-P1D5,Pectin,Final,D2
Enosh212-P2D5,Pectin,Final,D2
Enosh213-P3D5,Pectin,Final,D2
Enosh214-R1D5,RS,Final,D2
Enosh215-R2D5,RS,Final,D2
Enosh216-R3D5,RS,Final,D2
Enosh217-G1D5,Glucan,Final,D2
Enosh218-G2D5,Glucan,Final,D2
Enosh219-B3D5,Blank,Final,D2
Enosh203-I2D5,Blank,Initial,D2
Enosh205-I1D5,Blank,Initial,D2
Enosh206-I2D5,Blank,Initial,D2
Enosh207-I3D5,Blank,Initial,D2
Enosh203-I2D5,FOS,Initial,D2
Enosh205-I1D5,FOS,Initial,D2
Enosh206-I2D5,FOS,Initial,D2
Enosh207-I3D5,FOS,Initial,D2
Enosh203-I2D5,Glucan,Initial,D2
Enosh205-I1D5,Glucan,Initial,D2
Enosh206-I2D5,Glucan,Initial,D2
Enosh207-I3D5,Glucan,Initial,D2
Enosh203-I2D5,Pectin,Initial,D2
Enosh205-I1D5,Pectin,Initial,D2
Enosh206-I2D5,Pectin,Initial,D2
Enosh207-I3D5,Pectin,Initial,D2
Enosh203-I2D5,RS,Initial,D2
Enosh205-I1D5,RS,Initial,D2
Enosh206-I2D5,RS,Initial,D2
Enosh207-I3D5,RS,Initial,D2
Enosh223-B1D6,Blank,Final,D3
Enosh224-B2D6,Blank,Final,D3
Enosh225-B3D6,Blank,Final,D3
Enosh226-F1D6,FOS,Final,D3
Enosh227-F2D6,FOS,Final,D3
Enosh228-F3D6,FOS,Final,D3
Enosh229-P1D6,Pectin,Final,D3
Enosh230-P2D6,Pectin,Final,D3
Enosh231-P3D6,Pectin,Final,D3
Enosh232-R1D6,RS,Final,D3
Enosh233-R2D6,RS,Final,D3
Enosh234-R3D6,RS,Final,D3
Enosh235-G1D6,Glucan,Final,D3
Enosh236-G2D6,Glucan,Final,D3
Enosh237-G3D6,Glucan,Final,D3
Enosh220-I1D6,Blank,Initial,D3
Enosh221-I2D6,Blank,Initial,D3
Enosh222-I3D6,Blank,Initial,D3
Enosh220-I1D6,FOS,Initial,D3
Enosh221-I2D6,FOS,Initial,D3
Enosh222-I3D6,FOS,Initial,D3
Enosh220-I1D6,Glucan,Initial,D3
Enosh221-I2D6,Glucan,Initial,D3
Enosh222-I3D6,Glucan,Initial,D3
Enosh220-I1D6,Pectin,Initial,D3
Enosh221-I2D6,Pectin,Initial,D3
Enosh222-I3D6,Pectin,Initial,D3
Enosh220-I1D6,RS,Initial,D3
Enosh221-I2D6,RS,Initial,D3
Enosh222-I3D6,RS,Initial,D3
Enosh241-B1D7,Blank,Final,D4
Enosh242-B2D7,Blank,Final,D4
Enosh243-B3D7,Blank,Final,D4
Enosh244-F1D7,FOS,Final,D4
Enosh245-F2D7,FOS,Final,D4
Enosh246-F3D7,FOS,Final,D4
Enosh247-P1D7,Pectin,Final,D4
Enosh248-P2D7,Pectin,Final,D4
Enosh249-P3D7,Pectin,Final,D4
Enosh250-R1D7,RS,Final,D4
Enosh251-R2D7,RS,Final,D4
Enosh252-R3D7,RS,Final,D4
Enosh253-G1D7,Glucan,Final,D4
Enosh254-G2D7,Glucan,Final,D4
Enosh255-G3D7,Glucan,Final,D4
Enosh238-I1D7,Blank,Initial,D4
Enosh239-I2D7,Blank,Initial,D4
Enosh240-I3D7,Blank,Initial,D4
Enosh238-I1D7,FOS,Initial,D4
Enosh239-I2D7,FOS,Initial,D4
Enosh240-I3D7,FOS,Initial,D4
Enosh238-I1D7,Glucan,Initial,D4
Enosh239-I2D7,Glucan,Initial,D4
Enosh240-I3D7,Glucan,Initial,D4
Enosh238-I1D7,Pectin,Initial,D4
Enosh239-I2D7,Pectin,Initial,D4
Enosh240-I3D7,Pectin,Initial,D4
Enosh238-I1D7,RS,Initial,D4
Enosh239-I2D7,RS,Initial,D4
Enosh240-I3D7,RS,Initial,D4
Enosh259-B1D8,Blank,Final,D5
Enosh260-B2D8,Blank,Final,D5
Enosh261-B3D8,Blank,Final,D5
Enosh262-F1D8,FOS,Final,D5
Enosh263-F2D8,FOS,Final,D5
Enosh264-F3D8,FOS,Final,D5
Enosh265-P1D8,Pectin,Final,D5
Enosh266-P2D8,Pectin,Final,D5
Enosh268-R1D8,RS,Final,D5
Enosh269-R2D8,RS,Final,D5
Enosh270-R3D8,RS,Final,D5
Enosh271-G1D8,Glucan,Final,D5
Enosh272-G2D8,Glucan,Final,D5
Enosh273-G3D8,Glucan,Final,D5
Enosh275-P3D8,Pectin,Final,D5
Enosh256-I1D8,Blank,Initial,D5
Enosh257-I2D8,Blank,Initial,D5
Enosh258-I3D8,Blank,Initial,D5
Enosh256-I1D8,FOS,Initial,D5
Enosh257-I2D8,FOS,Initial,D5
Enosh258-I3D8,FOS,Initial,D5
Enosh256-I1D8,Glucan,Initial,D5
Enosh257-I2D8,Glucan,Initial,D5
Enosh258-I3D8,Glucan,Initial,D5
Enosh256-I1D8,Pectin,Initial,D5
Enosh257-I2D8,Pectin,Initial,D5
Enosh258-I3D8,Pectin,Initial,D5
Enosh256-I1D8,RS,Initial,D5
Enosh257-I2D8,RS,Initial,D5
Enosh258-I3D8,RS,Initial,D5
Enosh277-B1D9,Blank,Final,D6
Enosh278-B2D9,Blank,Final,D6
Enosh279-B3D9,Blank,Final,D6
Enosh280-F1D9,FOS,Final,D6
Enosh281-F2D9,FOS,Final,D6
Enosh282-F3D9,FOS,Final,D6
Enosh283-P1D9,Pectin,Final,D6
Enosh284-P2D9,Pectin,Final,D6
Enosh285-P3D9,Pectin,Final,D6
Enosh286-R1D9,RS,Final,D6
Enosh287-R2D9,RS,Final,D6
Enosh288-R3D9,RS,Final,D6
Enosh289-G1D9,Glucan,Final,D6
Enosh290-G2D9,Glucan,Final,D6
Enosh291-G3D9,Glucan,Final,D6
Enosh267-I2D9,Blank,Initial,D6
Enosh274-I1D9,Blank,Initial,D6
Enosh276-I3D9,Blank,Initial,D6
Enosh267-I2D9,FOS,Initial,D6
Enosh274-I1D9,FOS,Initial,D6
Enosh276-I3D9,FOS,Initial,D6
Enosh267-I2D9,Glucan,Initial,D6
Enosh274-I1D9,Glucan,Initial,D6
Enosh276-I3D9,Glucan,Initial,D6
Enosh267-I2D9,Pectin,Initial,D6
Enosh274-I1D9,Pectin,Initial,D6
Enosh276-I3D9,Pectin,Initial,D6
Enosh267-I2D9,RS,Initial,D6
Enosh274-I1D9,RS,Initial,D6
Enosh276-I3D9,RS,Initial,D6
Enosh295-B1D10,Blank,Final,D7
Enosh296-B2D10,Blank,Final,D7
Enosh297-B3D10,Blank,Final,D7
Enosh298-F1D10,FOS,Final,D7
Enosh299-F2D10,FOS,Final,D7
Enosh300-F3D10,FOS,Final,D7
Enosh301-P1D10,Pectin,Final,D7
Enosh302-P2D10,Pectin,Final,D7
Enosh303-P3D10,Pectin,Final,D7
Enosh304-R1D10,RS,Final,D7
Enosh305-R2D10,RS,Final,D7
Enosh306-R3D10,RS,Final,D7
Enosh307-G1D10,Glucan,Final,D7
Enosh308-G2D10,Glucan,Final,D7
Enosh309-G3D10,Glucan,Final,D7
Enosh292-I1D10,Blank,Initial,D7
Enosh293-I2D10,Blank,Initial,D7
Enosh294-I3D10,Blank,Initial,D7
Enosh292-I1D10,FOS,Initial,D7
Enosh293-I2D10,FOS,Initial,D7
Enosh294-I3D10,FOS,Initial,D7
Enosh292-I1D10,Glucan,Initial,D7
Enosh293-I2D10,Glucan,Initial,D7
Enosh294-I3D10,Glucan,Initial,D7
Enosh292-I1D10,Pectin,Initial,D7
Enosh293-I2D10,Pectin,Initial,D7
Enosh294-I3D10,Pectin,Initial,D7
Enosh292-I1D10,RS,Initial,D7
Enosh293-I2D10,RS,Initial,D7
Enosh294-I3D10,RS,Initial,D7
Enosh313-B1D11,Blank,Final,D8
Enosh314-B2D11,Blank,Final,D8
Enosh315-B3D11,Blank,Final,D8
Enosh316-F1D11,FOS,Final,D8
Enosh317-F2D11,FOS,Final,D8
Enosh318-F3D11,FOS,Final,D8
Enosh319-P1D11,Pectin,Final,D8
Enosh320-P2D11,Pectin,Final,D8
Enosh321-P3D11,Pectin,Final,D8
Enosh322-R1D11,RS,Final,D8
Enosh323-R2D11,RS,Final,D8
Enosh324-R3D11,RS,Final,D8
Enosh325-G1D11,Glucan,Final,D8
Enosh326-G2D11,Glucan,Final,D8
Enosh327-G3D11,Glucan,Final,D8
Enosh310-I1D11,Blank,Initial,D8
Enosh311-I2D11,Blank,Initial,D8
Enosh312-I3D11,Blank,Initial,D8
Enosh310-I1D11,FOS,Initial,D8
Enosh311-I2D11,FOS,Initial,D8
Enosh312-I3D11,FOS,Initial,D8
Enosh310-I1D11,Glucan,Initial,D8
Enosh311-I2D11,Glucan,Initial,D8
Enosh312-I3D11,Glucan,Initial,D8
Enosh310-I1D11,Pectin,Initial,D8
Enosh311-I2D11,Pectin,Initial,D8
Enosh312-I3D11,Pectin,Initial,D8
Enosh310-I1D11,RS,Initial,D8
Enosh311-I2D11,RS,Initial,D8
Enosh312-I3D11,RS,Initial,D8
Enosh331-B1D12,Blank,Final,D9
Enosh332-B2D12,Blank,Final,D9
Enosh333-B3D12,Blank,Final,D9
Enosh334-F1D12,FOS,Final,D9
Enosh335-F2D12,FOS,Final,D9
Enosh336-F3D12,FOS,Final,D9
Enosh337-P1D12,Pectin,Final,D9
Enosh338-P2D12,Pectin,Final,D9
Enosh339-P3D12,Pectin,Final,D9
Enosh341-R2D12,RS,Final,D9
Enosh342-R3D12,RS,Final,D9
Enosh343-G1D12,Glucan,Final,D9
Enosh344-G2D12,Glucan,Final,D9
Enosh345-G3D12,Glucan,Final,D9
Enosh347-R1D12,RS,Final,D9
Enosh328-I1D12,Blank,Initial,D9
Enosh329-I2D12,Blank,Initial,D9
Enosh330-I3D12,Blank,Initial,D9
Enosh328-I1D12,FOS,Initial,D9
Enosh329-I2D12,FOS,Initial,D9
Enosh330-I3D12,FOS,Initial,D9
Enosh328-I1D12,Glucan,Initial,D9
Enosh329-I2D12,Glucan,Initial,D9
Enosh330-I3D12,Glucan,Initial,D9
Enosh328-I1D12,Pectin,Initial,D9
Enosh329-I2D12,Pectin,Initial,D9
Enosh330-I3D12,Pectin,Initial,D9
Enosh328-I1D12,RS,Initial,D9
Enosh329-I2D12,RS,Initial,D9
Enosh330-I3D12,RS,Initial,D9
